date,day_of_week,month,meal_type,item_name,item_category,quantity_made,quantity_sold,is_exam_week,is_holiday_nearby,is_weekend
2025-09-01,monday,9,breakfast,idli,south indian,484,94,0,0,0
2025-09-01,monday,9,breakfast,vada,south indian,484,82,0,0,0
2025-09-01,monday,9,breakfast,sambhar,south indian,484,89,0,0,0
2025-09-01,monday,9,breakfast,chutney,condiment,518,81,0,0,0
2025-09-01,monday,9,breakfast,banana,fruit,1165,649,0,0,0
2025-09-01,monday,9,breakfast,bread,bread items,560,149,0,0,0
2025-09-01,monday,9,breakfast,butter jam,bread items,560,117,0,0,0
2025-09-01,monday,9,breakfast,tea,beverage,1050,490,0,0,0
2025-09-01,monday,9,breakfast,coffee,beverage,630,186,0,0,0
2025-09-01,monday,9,breakfast,milk,beverage,420,80,0,0,0
2025-09-01,monday,9,lunch,tawa roti,roti/rice,1657,1155,0,0,0
2025-09-01,monday,9,lunch,jeera aloo,veg curry,1438,1001,0,0,0
2025-09-01,monday,9,lunch,dhal fry,dal,1558,1105,0,0,0
2025-09-01,monday,9,lunch,butter milk,beverage,1155,590,0,0,0
2025-09-01,monday,9,lunch,mix salad,salad,886,328,0,0,0
2025-09-01,monday,9,lunch,plain rice,roti/rice,1543,1121,0,0,0
2025-09-01,monday,9,lunch,more kuzhambu,south indian,484,77,0,0,0
2025-09-01,monday,9,lunch,raw banana portyal,south indian,484,71,0,0,0
2025-09-01,monday,9,lunch,pepper rasam,south indian,484,77,0,0,0
2025-09-01,monday,9,lunch,pickle,condiment,646,219,0,0,0
2025-09-01,monday,9,high tea,kachori,snack,496,325,0,0,0
2025-09-01,monday,9,high tea,tamarind chutney,condiment,646,363,0,0,0
2025-09-01,monday,9,high tea,tea,beverage,1050,514,0,0,0
2025-09-01,monday,9,high tea,coffee,beverage,630,190,0,0,0
2025-09-01,monday,9,high tea,milk,beverage,420,78,0,0,0
2025-09-01,monday,9,dinner,kadhai mix veg,veg curry,1267,724,0,0,0
2025-09-01,monday,9,dinner,egg gravy,non-veg,849,318,0,0,0
2025-09-01,monday,9,dinner,butter roti,roti/rice,1622,1233,0,0,0
2025-09-01,monday,9,dinner,multi grain kitchadi,roti/rice,985,429,0,0,0
2025-09-01,monday,9,dinner,veg portyal,south indian,484,81,0,0,0
2025-09-01,monday,9,dinner,plain rice,roti/rice,1567,1051,0,0,0
2025-09-01,monday,9,dinner,tomato rasam,south indian,484,83,0,0,0
2025-09-01,monday,9,dinner,rice kheer,dessert,487,452,0,0,0
2025-09-01,monday,9,dinner,tea,beverage,1050,511,0,0,0
2025-09-01,monday,9,dinner,coffee,beverage,630,187,0,0,0
2025-09-01,monday,9,dinner,milk,beverage,420,85,0,0,0
2025-09-01,monday,9,dinner,pickle,condiment,518,170,0,0,0
2025-09-02,tuesday,9,breakfast,poha,snack,1572,1178,0,0,0
2025-09-02,tuesday,9,breakfast,jalebi,dessert,439,366,0,0,0
2025-09-02,tuesday,9,breakfast,pongal,south indian,484,86,0,0,0
2025-09-02,tuesday,9,breakfast,chutney,condiment,671,93,0,0,0
2025-09-02,tuesday,9,breakfast,jeera aloo,veg curry,1216,699,0,0,0
2025-09-02,tuesday,9,breakfast,mix cutfruit salad,fruit,1018,446,0,0,0
2025-09-02,tuesday,9,breakfast,bread,bread items,560,136,0,0,0
2025-09-02,tuesday,9,breakfast,butter jam,bread items,560,123,0,0,0
2025-09-02,tuesday,9,breakfast,tea,beverage,1050,549,0,0,0
2025-09-02,tuesday,9,breakfast,coffee,beverage,630,175,0,0,0
2025-09-02,tuesday,9,breakfast,milk,beverage,420,78,0,0,0
2025-09-02,tuesday,9,lunch,white channa,veg curry,1550,1151,0,0,0
2025-09-02,tuesday,9,lunch,poori,roti/rice,1690,1402,0,0,0
2025-09-02,tuesday,9,lunch,mix dal,dal,1470,1012,0,0,0
2025-09-02,tuesday,9,lunch,mix salad,salad,894,354,0,0,0
2025-09-02,tuesday,9,lunch,south indian plain rice,south indian,484,90,0,0,0
2025-09-02,tuesday,9,lunch,bottle gourd kuzhambu,south indian,484,71,0,0,0
2025-09-02,tuesday,9,lunch,tomato rasam,south indian,484,75,0,0,0
2025-09-02,tuesday,9,lunch,butter milk,beverage,1155,680,0,0,0
2025-09-02,tuesday,9,lunch,pickle,condiment,590,195,0,0,0
2025-09-02,tuesday,9,high tea,samosa,snack,479,392,0,0,0
2025-09-02,tuesday,9,high tea,aloo lader matter,snack,505,395,0,0,0
2025-09-02,tuesday,9,high tea,red sauce chutney,condiment,533,304,0,0,0
2025-09-02,tuesday,9,high tea,tea,beverage,1050,516,0,0,0
2025-09-02,tuesday,9,high tea,coffee,beverage,630,201,0,0,0
2025-09-02,tuesday,9,high tea,milk,beverage,420,83,0,0,0
2025-09-02,tuesday,9,dinner,butter roti,roti/rice,1599,1180,0,0,0
2025-09-02,tuesday,9,dinner,fresh custard,dessert,455,453,0,0,0
2025-09-02,tuesday,9,dinner,bhindi masala,veg curry,1403,920,0,0,0
2025-09-02,tuesday,9,dinner,dal tadka,dal,1508,1041,0,0,0
2025-09-02,tuesday,9,dinner,plain rice,roti/rice,1520,1129,0,0,0
2025-09-02,tuesday,9,dinner,pepper rasam,south indian,484,83,0,0,0
2025-09-02,tuesday,9,dinner,pickle,condiment,538,175,0,0,0
2025-09-02,tuesday,9,dinner,tea,beverage,1050,495,0,0,0
2025-09-02,tuesday,9,dinner,coffee,beverage,630,193,0,0,0
2025-09-02,tuesday,9,dinner,milk,beverage,420,77,0,0,0
2025-09-03,wednesday,9,breakfast,pav bhaji,snack,1767,1308,0,0,0
2025-09-03,wednesday,9,breakfast,upma,south indian,484,93,0,0,0
2025-09-03,wednesday,9,breakfast,chutney,condiment,537,79,0,0,0
2025-09-03,wednesday,9,breakfast,sprouts,healthy,826,317,0,0,0
2025-09-03,wednesday,9,breakfast,banana,fruit,1259,713,0,0,0
2025-09-03,wednesday,9,breakfast,boiled egg,non-veg,991,454,0,0,0
2025-09-03,wednesday,9,breakfast,bread,bread items,560,143,0,0,0
2025-09-03,wednesday,9,breakfast,butter jam,bread items,560,114,0,0,0
2025-09-03,wednesday,9,breakfast,tea,beverage,1050,558,0,0,0
2025-09-03,wednesday,9,breakfast,coffee,beverage,630,197,0,0,0
2025-09-03,wednesday,9,breakfast,milk,beverage,420,89,0,0,0
2025-09-03,wednesday,9,lunch,veg kofta,veg curry,1581,1087,0,0,0
2025-09-03,wednesday,9,lunch,dal tadka,dal,1525,999,0,0,0
2025-09-03,wednesday,9,lunch,mutter pulao,roti/rice,1625,1103,0,0,0
2025-09-03,wednesday,9,lunch,roti,roti/rice,1585,1133,0,0,0
2025-09-03,wednesday,9,lunch,sweet boondi,dessert,440,379,0,0,0
2025-09-03,wednesday,9,lunch,mixed veg salad,salad,888,332,0,0,0
2025-09-03,wednesday,9,lunch,south indian plain rice,south indian,484,88,0,0,0
2025-09-03,wednesday,9,lunch,vegetable sambhar,south indian,484,82,0,0,0
2025-09-03,wednesday,9,lunch,pickle,condiment,593,211,0,0,0
2025-09-03,wednesday,9,high tea,cutlet,snack,468,372,0,0,0
2025-09-03,wednesday,9,high tea,red chilli sauce,condiment,657,354,0,0,0
2025-09-03,wednesday,9,high tea,tea,beverage,1050,536,0,0,0
2025-09-03,wednesday,9,high tea,coffee,beverage,630,202,0,0,0
2025-09-03,wednesday,9,high tea,milk,beverage,420,85,0,0,0
2025-09-03,wednesday,9,dinner,paneer masala,veg curry,1755,1317,0,0,0
2025-09-03,wednesday,9,dinner,kadai chicken masala,non-veg,879,378,0,0,0
2025-09-03,wednesday,9,dinner,plain dal,dal,1427,899,0,0,0
2025-09-03,wednesday,9,dinner,butter roti,roti/rice,1596,1244,0,0,0
2025-09-03,wednesday,9,dinner,plain rice,roti/rice,1573,1097,0,0,0
2025-09-03,wednesday,9,dinner,vegi rasam,south indian,484,79,0,0,0
2025-09-03,wednesday,9,dinner,pickle,condiment,632,204,0,0,0
2025-09-03,wednesday,9,dinner,tea,beverage,1050,562,0,0,0
2025-09-03,wednesday,9,dinner,coffee,beverage,630,189,0,0,0
2025-09-03,wednesday,9,dinner,milk,beverage,420,79,0,0,0
2025-09-04,thursday,9,breakfast,aloo paratha,roti/rice,1766,1305,0,0,0
2025-09-04,thursday,9,breakfast,dahi,dairy,1433,1002,0,0,0
2025-09-04,thursday,9,breakfast,banana,fruit,1249,708,0,0,0
2025-09-04,thursday,9,breakfast,boiled egg,non-veg,968,426,0,0,0
2025-09-04,thursday,9,breakfast,bread,bread items,560,132,0,0,0
2025-09-04,thursday,9,breakfast,butter jam,bread items,560,128,0,0,0
2025-09-04,thursday,9,breakfast,tea,beverage,1050,527,0,0,0
2025-09-04,thursday,9,breakfast,coffee,beverage,630,197,0,0,0
2025-09-04,thursday,9,breakfast,milk,beverage,420,81,0,0,0
2025-09-04,thursday,9,lunch,rajma,veg curry,1758,1513,0,0,0
2025-09-04,thursday,9,lunch,jeera rice,roti/rice,1791,1475,0,0,0
2025-09-04,thursday,9,lunch,roti,roti/rice,1695,1335,0,0,0
2025-09-04,thursday,9,lunch,seasonal veg,veg curry,1303,722,0,0,0
2025-09-04,thursday,9,lunch,onion,condiment,632,284,0,0,0
2025-09-04,thursday,9,lunch,mixed veg salad,salad,898,387,0,0,0
2025-09-04,thursday,9,lunch,veg sambar,south indian,484,86,0,0,0
2025-09-04,thursday,9,lunch,parripu rasam,south indian,484,72,0,0,0
2025-09-04,thursday,9,lunch,beetroot portyal,south indian,484,64,0,0,0
2025-09-04,thursday,9,lunch,pickle,condiment,654,245,0,0,0
2025-09-04,thursday,9,high tea,cho. noodles,snack,814,726,0,0,0
2025-09-04,thursday,9,high tea,fried idli,south indian,484,100,0,0,0
2025-09-04,thursday,9,high tea,coconut chutney,condiment,589,113,0,0,0
2025-09-04,thursday,9,high tea,tea,beverage,1050,513,0,0,0
2025-09-04,thursday,9,high tea,coffee,beverage,630,180,0,0,0
2025-09-04,thursday,9,high tea,milk,beverage,420,80,0,0,0
2025-09-04,thursday,9,dinner,egg gravy,non-veg,812,293,0,0,0
2025-09-04,thursday,9,dinner,green peas masala,veg curry,1379,909,0,0,0
2025-09-04,thursday,9,dinner,dal fry,dal,1542,1045,0,0,0
2025-09-04,thursday,9,dinner,jeera rice,roti/rice,1606,1211,0,0,0
2025-09-04,thursday,9,dinner,butter roti,roti/rice,1587,1220,0,0,0
2025-09-04,thursday,9,dinner,teej halwa,dessert,469,455,0,0,0
2025-09-04,thursday,9,dinner,pepper rasam,south indian,484,80,0,0,0
2025-09-04,thursday,9,dinner,pickle,condiment,622,231,0,0,0
2025-09-04,thursday,9,dinner,tea,beverage,1050,519,0,0,0
2025-09-04,thursday,9,dinner,coffee,beverage,630,193,0,0,0
2025-09-04,thursday,9,dinner,milk,beverage,420,78,0,0,0
2025-09-05,friday,9,breakfast,onion uthappam,south indian,484,74,0,1,0
